Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.08656918,2.65E-06,0.01274303,0,0,0,6.1187,0.06255421,1.3E-07,-0.00211001,0.01945556,9.22E-06,0.0615262,0,0,0,0,0,0,package://MAGICBOT/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/base_link.STL,,A2202_P6_qugan_URDF(2)-1/pelvis-1,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LINK_HIP_ROLL_L,-0.0307534,-3.55E-06,0.0214845,0,0,0,0.47382,0.00060312,1E-08,-0.00015188,0.0007199,0,0.00083822,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_ROLL_L.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_ROLL_L.STL,,00000_P6_LG_V6(2)-1/L-LG_ASM^00000_P6_LG_V6(2)-1/L-THIGH_ASM^L-LG_ASM_00000_P6_LG_V6(2)-1/LINK_HIP_ROLL^L-THIGH_ASM_L-LG_ASM_00000_P6_LG_V6(2)-1,HIP_roll/yaw_L,HIP-roll-L,JOINT_HIP_ROLL_L,revolute,0,0.097,0,0,0,0,base_link,1,0,0,0,0,-0.349,0.523,,,,,,,,
LINK_HIP_YAW_L,-0.00106248,-0.00273398,-0.08172446,0,0,0,3.3831774,0.0025817,-1.749E-05,-5.305E-05,0.01518954,-0.0003372,0.00449534,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_YAW_L.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_YAW_L.STL,,00000_P6_LG_V6(2)-1/L-LG_ASM^00000_P6_LG_V6(2)-1/L-THIGH_ASM^L-LG_ASM_00000_P6_LG_V6(2)-1/LINK_HIP_YAW^L-THIGH_ASM_L-LG_ASM_00000_P6_LG_V6(2)-1,HIP_roll/yaw_L,HIP-yaw-L,JOINT_HIP_YAW_L,revolute,0,0,0,0,0,0,LINK_HIP_ROLL_L,0,0,1,0,0,-0.262,0.523,,,,,,,,
LINK_HIP_PITCH_L,-0.01293367,-0.00410579,-0.15592136,0,0,0,5.04878347,0.05451915,4.351E-05,-0.00131968,0.05697118,-8.554E-05,0.01571501,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_PITCH_L.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_PITCH_L.STL,,00000_P6_LG_V6(2)-1/L-LG_ASM^00000_P6_LG_V6(2)-1/L-THIGH_ASM^L-LG_ASM_00000_P6_LG_V6(2)-1/LINK_HIP_PITCH^L-THIGH_ASM_L-LG_ASM_00000_P6_LG_V6(2)-1,HIP_pitch_L,HIP-pitch-L,JOINT_HIP_PITCH_L,revolute,0,0,-0.118,0,0,0,LINK_HIP_YAW_L,0,1,0,0,0,-2.093,0.698,,,,,,,,
LINK_KNEE_PITCH_L,0.02883341,0.00126447,-0.12048006,0,0,0,3.37617301,0.04840952,3.72E-05,0.00187978,0.04874275,-0.00049369,0.00494927,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_KNEE_PITCH_L.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_KNEE_PITCH_L.STL,,00000_P6_LG_V6(2)-1/L-LG_ASM^00000_P6_LG_V6(2)-1/L-SHANK_ASM^L-LG_ASM_00000_P6_LG_V6(2)-1/LINK_KNEE_PITCH^L-SHANK_ASM_L-LG_ASM_00000_P6_LG_V6(2)-1,KNEE_L,KNEE-L,JOINT_KNEE_PITCH_L,revolute,-0.03295,0,-0.3875,0,0,0,LINK_HIP_PITCH_L,0,1,0,0,0,0,2.617,,,,,,,,
LINK_ANKLE_PITCH_L,0,0,-0.00869504,0,0,0,0.0724143,1.073E-05,0,0,1.156E-05,0,1.127E-05,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_ANKLE_PITCH_L.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_ANKLE_PITCH_L.STL,,00000_P6_LG_V6(2)-1/L-LG_ASM^00000_P6_LG_V6(2)-1/L-SHANK_ASM^L-LG_ASM_00000_P6_LG_V6(2)-1/LINK_ANKLE_PITCH^L-SHANK_ASM_L-LG_ASM_00000_P6_LG_V6(2)-1,ANKLE_pitch_L,ANKLE-pitch-L,JOINT_ANKLE_PITCHL_L,revolute,0.035056,0,-0.3867,0,0,0,LINK_KNEE_PITCH_L,0,1,0,0,0,-1.308,0.523,,,,,,,,
LINK_ANKLE_ROLL_L,0.01816289,0.00118755,-0.02613973,0,0,0,0.80130806,0.00072313,-6.6E-07,0.0004055,0.00377636,9.94E-06,0.00379858,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_ANKLE_ROLL_L.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_ANKLE_ROLL_L.STL,,00000_P6_LG_V6(2)-1/L-LG_ASM^00000_P6_LG_V6(2)-1/L-SHANK_ASM^L-LG_ASM_00000_P6_LG_V6(2)-1/LINK_ANKLE_ROLL^L-SHANK_ASM_L-LG_ASM_00000_P6_LG_V6(2)-1,ANKLE_roll_L,ANKLE-roll-L,JOINT_ANKLE_ROLL_L,revolute,0,0,-0.01,0,0,0,LINK_ANKLE_PITCH_L,1,0,0,0,0,-0.349,0.349,,,,,,,,
LINK_HIP_ROLL_R,-0.0307534,-3.59E-06,0.0214845,0,0,0,0.47383286,0.00060312,1E-08,-0.00015188,0.0007199,0,0.00083822,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_ROLL_R.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_ROLL_R.STL,,00000_P6_LG_V6(2)-1/R-LG_ASM^00000_P6_LG_V6(2)-1/R-THIGH_ASM^R-LG_ASM_00000_P6_LG_V6(2)-1/LINK_HIP_ROLL^R-THIGH_ASM_R-LG_ASM_00000_P6_LG_V6(2)-1,HIP_roll/yaw_R,HIP-roll-R,JOINT_HIP_ROLL_R,revolute,0,-0.097,0,0,0,0,base_link,1,0,0,0,0,-0.523,0.349,,,,,,,,
LINK_HIP_YAW_R,-0.00100961,0.00273909,-0.08170498,0,0,0,3.38317107,0.01444072,2.4146E-05,-5.55E-05,0.01580205,0.00031688,0.00469921,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_YAW_R.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_YAW_R.STL,,00000_P6_LG_V6(2)-1/R-LG_ASM^00000_P6_LG_V6(2)-1/R-THIGH_ASM^R-LG_ASM_00000_P6_LG_V6(2)-1/LINK_HIP_YAW^R-THIGH_ASM_R-LG_ASM_00000_P6_LG_V6(2)-1,HIP_roll/yaw_R,HIP-yaw-R,JOINT_HIP_YAW_R,revolute,0,0,0,0,0,0,LINK_HIP_ROLL_R,0,0,1,0,0,-0.523,0.262,,,,,,,,
LINK_HIP_PITCH_R,-0.01160838,0.00408093,-0.15539802,0,0,0,5.04801978,0.05386062,-0.00016145,-0.0003202,0.05538209,1.298E-05,0.01474923,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_PITCH_R.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_HIP_PITCH_R.STL,,00000_P6_LG_V6(2)-1/R-LG_ASM^00000_P6_LG_V6(2)-1/R-THIGH_ASM^R-LG_ASM_00000_P6_LG_V6(2)-1/LINK_HIP_PITCH^R-THIGH_ASM_R-LG_ASM_00000_P6_LG_V6(2)-1,HIP_pitch_R,HIP-pitch-R,JOINT_HIP_PITCH_R,revolute,0,0,-0.118,0,0,0,LINK_HIP_YAW_R,0,1,0,0,0,-2.093,0.698,,,,,,,,
LINK_KNEE_PITCH_R,0.02881522,-0.00126424,-0.12052803,0,0,0,3.37418513,0.04839412,-3.873E-05,0.00187255,0.04872791,0.00049571,0.00494635,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_KNEE_PITCH_R.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_KNEE_PITCH_R.STL,,00000_P6_LG_V6(2)-1/R-LG_ASM^00000_P6_LG_V6(2)-1/R-SHANK_ASM^R-LG_ASM_00000_P6_LG_V6(2)-1/LINK_KNEE_PITCH^R-SHANK_ASM_R-LG_ASM_00000_P6_LG_V6(2)-1,KNEE_R,KNEE-R,JOINT_KNEE_PITCH_R,revolute,-0.032951,0,-0.3875,0,0,0,LINK_HIP_PITCH_R,0,1,0,0,0,0,2.617,,,,,,,,
LINK_ANKLE_PITCH_R,-1.27E-06,-4.51E-06,-0.00869518,0,0,0,0.0724143,1.073E-05,0,0,1.156E-05,0,1.127E-05,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_ANKLE_PITCH_R.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://MAGICBOT/meshes/LINK_ANKLE_PITCH_R.STL,,00000_P6_LG_V6(2)-1/R-LG_ASM^00000_P6_LG_V6(2)-1/R-SHANK_ASM^R-LG_ASM_00000_P6_LG_V6(2)-1/LINK_ANKLE_PITCH^R-SHANK_ASM_R-LG_ASM_00000_P6_LG_V6(2)-1,ANKLE_pitch_R,ANKLE-pitch-R,JOINT_ANKLE_PITCH_R,revolute,0.035003,0,-0.3867,0,0,0,LINK_KNEE_PITCH_R,0,1,0,0,0,-1.308,0.523,,,,,,,,
